iter	Logloss
0	0.5872171952
1	0.5101553551
2	0.4626543835
3	0.4199535883
4	0.3937980002
5	0.3678133596
6	0.3516306625
7	0.3397536468
8	0.3264309453
9	0.3183776368
10	0.3117599563
11	0.3051431625
12	0.3006131827
13	0.2958317884
14	0.2921988939
15	0.2892069576
16	0.2864854487
17	0.2837521121
18	0.2821728828
19	0.2800447125
20	0.2785998626
21	0.2769241259
22	0.2755183941
23	0.2739667887
24	0.2721484424
25	0.2708774739
26	0.2696749
27	0.2677684188
28	0.2670831327
29	0.2662162215
30	0.2653863038
31	0.2645637801
32	0.2633245254
33	0.2627261903
34	0.2619900442
35	0.2612746066
36	0.2606457109
37	0.2600573434
38	0.2592644689
39	0.2588012658
40	0.2582888006
41	0.2575945813
42	0.2571173231
43	0.2565163934
44	0.2557215639
45	0.2550855965
46	0.2543866738
47	0.2539726091
48	0.253556701
49	0.2529790605
50	0.2525715676
51	0.2523410804
52	0.2517588402
53	0.2513738074
54	0.2509685709
55	0.2504706468
56	0.2501576469
57	0.2498567257
58	0.2495880299
59	0.2490560488
60	0.2486589615
61	0.2481180436
62	0.2477072743
63	0.2473903298
64	0.2469295528
65	0.2465790685
66	0.2460621378
67	0.2458190115
68	0.2455031137
69	0.2451386509
70	0.2447846104
71	0.2444418023
72	0.2440622478
73	0.2436613007
74	0.2435109959
75	0.2432495816
76	0.2430031058
77	0.2427555199
78	0.2423585643
79	0.2421624109
80	0.2417429805
81	0.2414896441
82	0.2411979557
83	0.2409438353
84	0.2406396529
85	0.2403437971
86	0.2401279095
87	0.2399280676
88	0.2397923031
89	0.2395565812
90	0.2392595311
91	0.2389902887
92	0.2387962903
93	0.2386045462
94	0.2384057605
95	0.2382225569
96	0.2380602196
97	0.2379289893
98	0.2378192948
99	0.2376956599
100	0.2374919243
101	0.2371882426
102	0.2369896537
103	0.2367168511
104	0.2365553182
105	0.2363794491
106	0.2362140753
107	0.2360375303
108	0.2358710762
109	0.2355756911
110	0.2354255258
111	0.2352684222
112	0.2351272072
113	0.2349695872
114	0.23479481
115	0.2346042457
116	0.2344355745
117	0.2342540825
118	0.2339100348
119	0.2337028627
120	0.2335976039
121	0.2334371045
122	0.2333267995
123	0.2331552022
124	0.2330045742
125	0.2328728563
126	0.2326929387
127	0.2325402327
128	0.232420177
129	0.2322093477
130	0.2320830761
131	0.2319081065
132	0.2316634031
133	0.2314937365
134	0.2313834733
135	0.2312825391
136	0.231144781
137	0.2309713931
138	0.2307987891
139	0.230675082
140	0.2305493512
141	0.2303732521
142	0.2302637555
143	0.2301091854
144	0.2299854619
145	0.2298217867
146	0.2296684381
147	0.2295298169
148	0.2293845782
149	0.2291555318
150	0.228949395
151	0.2288333859
152	0.2286763864
153	0.2284192766
154	0.2282552683
155	0.228136949
156	0.2279093443
157	0.2277214728
158	0.2275926786
159	0.2274571479
160	0.2272891909
161	0.2270502208
162	0.2269116225
163	0.2267801052
164	0.2266823815
165	0.2265577951
166	0.2264542181
167	0.2263406021
168	0.2262147384
169	0.2260831131
170	0.2258572167
171	0.2256992292
172	0.2255999843
173	0.2254795107
174	0.2253311105
175	0.2252036833
176	0.2250160923
177	0.2247812263
178	0.2246740855
179	0.2245980282
180	0.2244964497
181	0.2243458775
182	0.2241284752
183	0.2239994944
184	0.2239131668
185	0.2237987292
186	0.2237442857
187	0.22361847
188	0.2234413332
189	0.2233151074
190	0.2231672998
191	0.2230290048
192	0.2229103192
193	0.2227410517
194	0.222629993
195	0.2225686101
196	0.2224275064
197	0.2223071834
198	0.2221705043
199	0.2220805145
200	0.2219855367
201	0.2218758724
202	0.2217631798
203	0.221613624
204	0.2214967388
205	0.2212762421
206	0.2211494309
207	0.2210035249
208	0.2208081705
209	0.2206850878
210	0.2205818115
211	0.2204587858
212	0.2202372522
213	0.2201239484
214	0.2199952077
215	0.219901867
216	0.2197592157
217	0.2196711119
218	0.2195758579
219	0.2194670675
220	0.2193089214
221	0.2192061309
222	0.2190993184
223	0.2190241547
224	0.2189365862
225	0.218851585
226	0.2186929378
227	0.2185192833
228	0.2184031574
229	0.2182432204
230	0.2181149351
231	0.2180449927
232	0.2179199635
233	0.2178579643
234	0.2177752171
235	0.2175875316
236	0.2175132125
237	0.2173776908
238	0.2172675185
239	0.2171546046
240	0.2169834033
241	0.2168869954
